time,G(i),H_sun,T2m,WS10m,Int
20180105:2110,0.0,0.0,7.83,2.97,0.0
20180105:2210,0.0,0.0,7.72,2.62,0.0
20180105:2310,0.0,0.0,7.44,2.21,0.0
20180106:0010,0.0,0.0,7.35,1.93,0.0
20180106:0110,0.0,0.0,7.15,2.0,0.0
20180106:0210,0.0,0.0,6.57,2.34,0.0
20180106:0310,0.0,0.0,5.6,1.66,0.0
20180106:0410,0.0,0.0,4.85,1.03,0.0
20180106:0510,0.0,0.0,4.54,0.9,0.0
20180106:0610,0.0,0.0,4.35,1.03,0.0
20180106:0710,0.0,0.0,4.44,1.66,0.0
20180106:0810,12.85,4.37,4.27,1.93,0.0
20180106:0910,71.05,13.11,4.01,2.0,0.0
20180106:1010,115.31,20.18,3.97,2.34,0.0
20180106:1110,129.04,25.0,3.7,2.21,0.0
20180106:1210,171.87,27.04,3.83,2.9,0.0
20180106:1310,120.26,26.03,3.86,3.24,0.0
20180106:1410,101.9,22.09,4.05,3.38,0.0
20180106:1510,69.77,15.72,4.11,3.17,0.0
20180106:1610,59.8,7.49,3.91,3.24,0.0
20180106:1710,0.0,0.0,3.39,3.31,0.0
20180106:1810,0.0,0.0,2.72,3.24,0.0
20180106:1910,0.0,0.0,2.26,2.69,0.0
20180106:2010,0.0,0.0,2.45,2.34,0.0
20180106:2110,0.0,0.0,2.22,2.07,0.0
20180106:2210,0.0,0.0,2.0,2.07,0.0
20180106:2310,0.0,0.0,1.89,1.72,0.0
20180107:0010,0.0,0.0,1.84,1.59,0.0
20180107:0110,0.0,0.0,1.37,1.24,0.0
20180107:0210,0.0,0.0,1.12,1.1,0.0
20180107:0310,0.0,0.0,1.09,1.17,0.0
20180107:0410,0.0,0.0,1.07,1.03,0.0
20180107:0510,0.0,0.0,1.1,1.1,0.0
20180107:0610,0.0,0.0,1.21,1.1,0.0
20180107:0710,0.0,0.0,2.35,0.14,0.0
20180107:0810,7.34,4.4,2.39,0.41,0.0
20180107:0910,86.59,13.15,2.4,0.14,0.0
20180107:1010,35.8,20.25,2.6,0.41,0.0
20180107:1110,125.77,25.1,3.23,0.48,0.0
20180107:1210,118.43,27.16,3.62,1.31,0.0
20180107:1310,133.11,26.17,3.59,1.72,0.0
20180107:1410,196.19,22.24,3.47,1.86,0.0
20180107:1510,117.54,15.87,3.51,2.0,0.0
20180107:1610,197.11,7.64,3.28,2.21,0.0
20180107:1710,0.0,0.0,2.42,1.79,0.0
20180107:1810,0.0,0.0,2.24,1.66,0.0
20180107:1910,0.0,0.0,2.1,1.79,0.0
20180107:2010,0.0,0.0,1.44,2.0,0.0
20180107:2110,0.0,0.0,0.76,1.86,0.0
20180107:2210,0.0,0.0,-0.12,1.79,0.0
20180107:2310,0.0,0.0,-0.81,1.86,0.0
20180108:0010,0.0,0.0,-1.57,2.0,0.0
20180108:0110,0.0,0.0,-2.09,2.07,0.0
20180108:0210,0.0,0.0,-2.31,2.07,0.0
20180108:0310,0.0,0.0,-2.55,2.0,0.0
20180108:0410,0.0,0.0,-2.64,2.0,0.0
20180108:0510,0.0,0.0,-2.95,2.07,0.0
20180108:0610,0.0,0.0,-2.84,2.0,0.0
20180108:0710,0.0,0.0,-2.58,2.14,0.0
20180108:0810,171.66,4.43,-2.35,1.93,0.0
20180108:0910,495.13,13.2,-0.64,1.59,0.0
20180108:1010,736.06,20.32,2.09,1.66,0.0
20180108:1110,887.05,25.2,3.91,1.59,0.0
20180108:1210,939.98,27.29,5.53,1.31,0.0
20180108:1310,917.59,26.31,6.53,0.97,0.0
20180108:1410,633.09,22.4,7.14,0.55,0.0
20180108:1510,587.21,16.03,7.33,0.21,0.0
20180108:1610,333.89,7.8,7.11,0.55,0.0
20180108:1710,0.0,0.0,6.44,0.9,0.0
20180108:1810,0.0,0.0,4.82,1.17,0.0
20180108:1910,0.0,0.0,3.58,1.72,0.0
20180108:2010,0.0,0.0,2.18,1.72,0.0
20180108:2110,0.0,0.0,1.12,1.72,0.0
20180108:2210,0.0,0.0,0.41,1.72,0.0
20180108:2310,0.0,0.0,0.0,1.66,0.0
20180109:0010,0.0,0.0,-0.52,1.66,0.0
20180109:0110,0.0,0.0,-0.47,1.45,0.0
20180109:0210,0.0,0.0,0.18,1.1,0.0
20180109:0310,0.0,0.0,-0.82,1.31,0.0
20180109:0410,0.0,0.0,-1.07,1.38,0.0
20180109:0510,0.0,0.0,-1.34,1.45,0.0
20180109:0610,0.0,0.0,-1.45,1.45,0.0
20180109:0710,0.0,0.0,-1.99,1.17,0.0
20180109:0810,52.88,4.47,-1.69,1.38,0.0
20180109:0910,61.51,13.26,-0.14,1.31,0.0
20180109:1010,208.94,20.4,2.22,1.72,0.0
20180109:1110,226.39,25.31,3.47,2.34,0.0
20180109:1210,225.6,27.42,4.25,3.03,0.0
20180109:1310,362.53,26.46,4.5,3.38,0.0
