time,G(i),H_sun,T2m,WS10m,Int
20180324:1410,232.4,43.92,10.55,6.76,0.0
20180324:1510,210.13,35.51,10.79,6.76,0.0
20180324:1610,263.16,25.43,10.36,6.28,0.0
20180324:1710,95.56,14.47,9.53,5.72,0.0
20180324:1810,19.66,3.12,8.59,5.45,0.0
20180324:1910,0.0,0.0,7.72,4.76,0.0
20180324:2010,0.0,0.0,6.83,4.34,0.0
20180324:2110,0.0,0.0,6.22,3.86,0.0
20180324:2210,0.0,0.0,5.63,3.52,0.0
20180324:2310,0.0,0.0,5.02,3.03,0.0
20180325:0010,0.0,0.0,4.56,2.76,0.0
20180325:0110,0.0,0.0,4.41,2.55,0.0
20180325:0210,0.0,0.0,4.21,2.34,0.0
20180325:0310,0.0,0.0,3.95,2.28,0.0
20180325:0410,0.0,0.0,3.55,2.21,0.0
20180325:0510,0.0,0.0,3.14,2.14,0.0
20180325:0610,0.0,0.0,2.67,2.07,0.0
20180325:0710,144.69,10.45,2.66,1.31,0.0
20180325:0810,317.5,21.62,4.98,1.59,0.0
20180325:0910,621.64,32.13,6.67,2.21,0.0
20180325:1010,794.48,41.32,8.41,2.83,0.0
20180325:1110,1019.17,48.18,9.27,2.62,0.0
20180325:1210,959.91,51.33,10.36,2.62,0.0
20180325:1310,657.95,49.86,11.16,2.69,0.0
20180325:1410,146.89,44.23,11.78,3.31,0.0
20180325:1510,276.97,35.76,11.65,4.14,0.0
20180325:1610,236.18,25.65,10.42,4.14,0.0
20180325:1710,233.69,14.67,9.9,3.45,0.0
20180325:1810,22.25,3.32,9.2,3.17,0.0
20180325:1910,0.0,0.0,7.99,2.41,0.0
20180325:2010,0.0,0.0,6.9,2.41,0.0
20180325:2110,0.0,0.0,6.05,2.34,0.0
20180325:2210,0.0,0.0,5.13,2.07,0.0
20180325:2310,0.0,0.0,4.48,1.79,0.0
20180326:0010,0.0,0.0,4.31,1.59,0.0
20180326:0110,0.0,0.0,3.68,1.72,0.0
20180326:0210,0.0,0.0,3.4,1.79,0.0
20180326:0310,0.0,0.0,3.04,1.79,0.0
20180326:0410,0.0,0.0,2.78,1.66,0.0
20180326:0510,0.0,0.0,2.26,1.72,0.0
20180326:0610,0.0,0.0,1.89,1.66,0.0
20180326:0710,164.38,10.77,3.32,1.17,0.0
20180326:0810,429.45,21.94,5.55,1.1,0.0
20180326:0910,678.47,32.47,7.7,2.41,0.0
20180326:1010,886.66,41.69,9.16,2.76,0.0
20180326:1110,1032.06,48.57,10.56,2.83,0.0
20180326:1210,1077.65,51.73,11.55,2.69,0.0
20180326:1310,1050.93,50.22,12.65,2.9,0.0
20180326:1410,946.41,44.53,13.17,3.38,0.0
20180326:1510,756.23,36.02,12.85,3.86,0.0
20180326:1610,522.45,25.87,12.67,3.93,0.0
20180326:1710,249.7,14.87,12.09,3.52,0.0
20180326:1810,25.17,3.51,11.14,2.21,0.0
20180326:1910,0.0,0.0,10.06,1.79,0.0
20180326:2010,0.0,0.0,9.59,1.03,0.0
20180326:2110,0.0,0.0,7.34,1.52,0.0
20180326:2210,0.0,0.0,5.91,1.93,0.0
20180326:2310,0.0,0.0,5.52,1.93,0.0
20180327:0010,0.0,0.0,5.44,1.79,0.0
20180327:0110,0.0,0.0,5.21,1.72,0.0
20180327:0210,0.0,0.0,4.71,1.66,0.0
20180327:0310,0.0,0.0,4.28,1.59,0.0
20180327:0410,0.0,0.0,4.14,1.52,0.0
20180327:0510,0.0,0.0,4.44,1.24,0.0
20180327:0610,0.0,0.0,5.27,0.83,0.0
20180327:0710,159.5,11.08,5.4,0.34,0.0
20180327:0810,423.4,22.27,7.49,0.21,0.0
20180327:0910,673.32,32.82,10.68,0.62,0.0
20180327:1010,878.66,42.06,12.59,1.31,0.0
20180327:1110,1022.54,48.97,14.48,1.66,0.0
20180327:1210,1080.99,52.12,15.91,1.66,0.0
20180327:1310,1045.96,50.58,17.27,1.66,0.0
20180327:1410,947.25,44.84,18.36,1.79,0.0
20180327:1510,752.68,36.27,18.95,2.07,0.0
20180327:1610,512.18,26.09,19.08,2.34,0.0
20180327:1710,264.52,15.07,18.65,2.21,0.0
20180327:1810,21.71,3.7,17.24,1.66,0.0
20180327:1910,0.0,0.0,14.83,1.72,0.0
20180327:2010,0.0,0.0,12.5,1.72,0.0
20180327:2110,0.0,0.0,10.78,1.66,0.0
20180327:2210,0.0,0.0,9.25,1.59,0.0
20180327:2310,0.0,0.0,8.15,1.38,0.0
20180328:0010,0.0,0.0,7.65,1.17,0.0
20180328:0110,0.0,0.0,7.41,1.03,0.0
20180328:0210,0.0,0.0,6.85,0.9,0.0
20180328:0310,0.0,0.0,6.37,0.76,0.0
20180328:0410,0.0,0.0,5.92,0.55,0.0
20180328:0510,0.0,0.0,5.49,0.55,0.0
20180328:0610,0.0,0.0,4.98,0.55,0.0
20180328:0710,172.77,11.4,5.33,0.14,0.0
20180328:0810,432.01,22.6,7.83,0.07,0.0
20180328:0910,673.87,33.16,11.86,0.76,0.0
20180328:1010,881.93,42.43,14.79,1.59,0.0
20180328:1110,1038.32,49.36,16.81,2.34,0.0
20180328:1210,1115.2,52.52,18.12,2.9,0.0
20180328:1310,1048.88,50.94,18.95,3.31,0.0
20180328:1410,931.57,45.14,19.35,3.59,0.0
20180328:1510,750.36,36.52,19.38,3.86,0.0
20180328:1610,522.05,26.31,18.99,4.07,0.0
20180328:1710,250.03,15.27,18.09,4.0,0.0
20180328:1810,16.18,3.9,16.25,3.79,0.0
20180328:1910,0.0,0.0,14.21,3.52,0.0
20180328:2010,0.0,0.0,12.79,3.1,0.0
20180328:2110,0.0,0.0,11.54,2.41,0.0
20180328:2210,0.0,0.0,10.23,1.86,0.0
20180328:2310,0.0,0.0,9.37,1.72,0.0
20180329:0010,0.0,0.0,8.61,1.59,0.0
20180329:0110,0.0,0.0,8.19,1.59,0.0
20180329:0210,0.0,0.0,7.61,1.59,0.0
20180329:0310,0.0,0.0,6.95,1.52,0.0
20180329:0410,0.0,0.0,6.75,1.31,0.0
20180329:0510,0.0,0.0,6.25,1.38,0.0
20180329:0610,0.0,0.0,5.5,1.52,0.0
20180329:0710,93.32,11.71,6.45,1.17,0.0
20180329:0810,371.2,22.92,8.61,1.79,0.0
20180329:0910,661.78,33.5,9.85,2.14,0.0
20180329:1010,727.88,42.8,11.06,2.69,0.0
20180329:1110,971.75,49.76,12.34,3.31,0.0
20180329:1210,973.91,52.91,13.23,3.86,0.0
20180329:1310,1041.5,51.29,14.01,4.34,0.0
20180329:1410,954.66,45.44,14.48,4.97,0.0
20180329:1510,759.53,36.77,14.41,5.38,0.0
20180329:1610,521.43,26.52,13.61,5.59,0.0
20180329:1710,253.08,15.47,12.42,5.59,0.0
20180329:1810,28.64,4.09,11.02,4.83,0.0
20180329:1910,0.0,0.0,9.47,5.03,0.0
20180329:2010,0.0,0.0,8.27,4.62,0.0
20180329:2110,0.0,0.0,7.34,4.41,0.0
20180329:2210,0.0,0.0,6.78,4.34,0.0
20180329:2310,0.0,0.0,6.17,4.34,0.0
20180330:0010,0.0,0.0,5.73,4.41,0.0
20180330:0110,0.0,0.0,5.48,4.69,0.0
20180330:0210,0.0,0.0,5.32,4.69,0.0
20180330:0310,0.0,0.0,5.34,4.55,0.0
20180330:0410,0.0,0.0,5.36,4.55,0.0
20180330:0510,0.0,0.0,5.19,4.14,0.0
20180330:0610,0.0,0.0,4.62,3.24,0.0
20180330:0710,126.82,12.03,4.32,2.41,0.0
20180330:0810,315.84,23.24,5.34,2.76,0.0
20180330:0910,708.05,33.84,6.01,2.76,0.0
20180330:1010,873.37,43.17,6.74,2.9,0.0
20180330:1110,660.54,50.15,7.72,3.24,0.0
20180330:1210,759.15,53.3,8.83,4.07,0.0
20180330:1310,885.68,51.65,9.63,4.9,0.0
20180330:1410,942.91,45.73,10.27,5.45,0.0
20180330:1510,680.22,37.02,9.97,6.0,0.0
20180330:1610,514.66,26.74,9.39,6.21,0.0
20180330:1710,236.27,15.67,8.73,5.93,0.0
20180330:1810,11.02,4.28,7.32,5.1,0.0
20180330:1910,0.0,0.0,6.0,5.1,0.0
20180330:2010,0.0,0.0,4.3,5.66,0.0
20180330:2110,0.0,0.0,3.29,5.17,0.0
20180330:2210,0.0,0.0,3.53,4.62,0.0
20180330:2310,0.0,0.0,3.87,4.28,0.0
20180331:0010,0.0,0.0,3.96,4.14,0.0
20180331:0110,0.0,0.0,3.43,4.21,0.0
20180331:0210,0.0,0.0,3.06,4.14,0.0
20180331:0310,0.0,0.0,2.89,3.86,0.0
20180331:0410,0.0,0.0,3.08,3.66,0.0
20180331:0510,0.0,0.0,2.98,3.59,0.0
20180331:0610,0.0,0.0,3.26,3.59,0.0
20180331:0710,161.84,12.34,3.8,3.31,0.0
20180331:0810,339.34,23.56,5.24,4.41,0.0
20180331:0910,489.96,34.18,6.96,5.1,0.0
20180331:1010,504.36,43.54,8.46,4.76,0.0
20180331:1110,893.86,50.54,9.9,4.76,0.0
20180331:1210,1040.83,53.7,10.98,4.69,0.0
20180331:1310,940.06,52.0,11.89,4.83,0.0
20180331:1410,681.86,46.03,12.79,4.9,0.0
20180331:1510,626.32,37.26,13.11,4.83,0.0
20180331:1610,534.8,26.95,12.79,4.21,0.0
20180331:1710,261.27,15.86,12.23,3.59,0.0
20180331:1810,8.26,4.47,11.26,2.28,0.0
20180331:1910,0.0,0.0,9.52,1.66,0.0
20180331:2010,0.0,0.0,7.7,1.72,0.0
20180331:2110,0.0,0.0,6.5,1.93,0.0
20180331:2210,0.0,0.0,5.64,2.0,0.0
20180331:2310,0.0,0.0,4.92,1.86,0.0
20180401:0010,0.0,0.0,4.64,1.52,0.0
20180401:0110,0.0,0.0,4.74,1.24,0.0
20180401:0210,0.0,0.0,4.91,0.9,0.0
20180401:0310,0.0,0.0,5.07,0.48,0.0
20180401:0410,0.0,0.0,4.71,0.28,0.0
20180401:0510,0.0,0.0,4.22,0.55,0.0
20180401:0610,0.0,0.0,3.14,0.97,0.0
20180401:0710,163.23,12.65,4.42,0.69,0.0
20180401:0810,417.05,23.88,6.36,0.9,0.0
20180401:0910,650.94,34.52,8.52,1.1,0.0
20180401:1010,853.94,43.9,10.17,1.31,0.0
20180401:1110,970.32,50.93,12.0,1.59,0.0
20180401:1210,987.21,54.09,13.42,1.72,0.0
20180401:1310,994.05,52.35,14.52,1.79,0.0
20180401:1410,887.65,46.32,15.31,1.93,0.0
20180401:1510,713.62,37.51,15.84,2.0,0.0
20180401:1610,200.31,27.16,15.86,1.86,0.0
20180401:1710,85.0,16.05,15.72,1.66,0.0
20180401:1810,20.93,4.66,15.1,0.62,0.0
20180401:1910,0.0,0.0,13.53,1.31,0.0
20180401:2010,0.0,0.0,11.88,1.86,0.0
20180401:2110,0.0,0.0,10.26,1.66,0.0
20180401:2210,0.0,0.0,9.26,1.59,0.0
20180401:2310,0.0,0.0,9.11,1.72,0.0
20180402:0010,0.0,0.0,8.99,1.86,0.0
20180402:0110,0.0,0.0,8.4,1.66,0.0
20180402:0210,0.0,0.0,7.94,1.66,0.0
20180402:0310,0.0,0.0,7.53,1.66,0.0
20180402:0410,0.0,0.0,6.88,1.59,0.0
20180402:0510,0.0,0.0,6.34,1.59,0.0
20180402:0610,0.0,0.0,6.04,1.52,0.0
20180402:0710,130.68,12.96,6.66,1.1,0.0
20180402:0810,450.88,24.2,9.39,1.03,0.0
20180402:0910,676.66,34.86,11.34,1.45,0.0
20180402:1010,856.93,44.26,13.37,2.34,0.0
20180402:1110,706.44,51.32,15.09,3.31,0.0
20180402:1210,844.11,54.48,16.34,4.0,0.0
20180402:1310,1002.07,52.7,17.41,4.76,0.0
20180402:1410,888.23,46.61,17.98,4.97,0.0
20180402:1510,724.72,37.75,18.33,5.17,0.0
20180402:1610,441.26,27.37,17.94,5.03,0.0
20180402:1710,236.39,16.25,17.17,4.69,0.0
20180402:1810,28.27,4.85,15.68,3.66,0.0
20180402:1910,0.0,0.0,13.89,3.17,0.0
20180402:2010,0.0,0.0,12.39,2.9,0.0
20180402:2110,0.0,0.0,11.28,2.97,0.0
20180402:2210,0.0,0.0,10.47,2.97,0.0
20180402:2310,0.0,0.0,9.72,2.9,0.0
20180403:0010,0.0,0.0,9.26,2.9,0.0
20180403:0110,0.0,0.0,9.14,3.03,0.0
20180403:0210,0.0,0.0,9.0,3.1,0.0
20180403:0310,0.0,0.0,8.77,3.1,0.0
20180403:0410,0.0,0.0,8.83,3.31,0.0
20180403:0510,0.0,0.0,8.52,3.31,0.0
20180403:0610,0.86,1.86,8.09,3.03,0.0
20180403:0710,34.89,13.27,8.32,4.07,0.0
20180403:0810,143.67,24.52,8.77,5.03,0.0
20180403:0910,572.54,35.19,10.11,5.86,0.0
20180403:1010,360.88,44.62,11.22,5.86,0.0
20180403:1110,167.08,51.7,12.37,6.07,0.0
20180403:1210,466.82,54.86,13.07,6.21,0.0
20180403:1310,890.49,53.05,13.5,6.28,0.0
20180403:1410,622.67,46.9,14.06,6.34,0.0
20180403:1510,423.22,37.98,14.22,6.28,0.0
20180403:1610,150.36,27.58,13.74,5.79,0.0
20180403:1710,103.34,16.44,13.43,5.17,0.0
20180403:1810,19.59,5.04,12.77,4.14,0.0
20180403:1910,0.0,0.0,11.76,4.55,0.0
20180403:2010,0.0,0.0,10.9,4.28,0.0
20180403:2110,0.0,0.0,9.96,4.21,0.0
20180403:2210,0.0,0.0,9.17,4.28,0.0
20180403:2310,0.0,0.0,8.5,4.28,0.0
20180404:0010,0.0,0.0,7.88,4.34,0.0
20180404:0110,0.0,0.0,7.46,4.28,0.0
20180404:0210,0.0,0.0,6.89,4.0,0.0
20180404:0310,0.0,0.0,6.61,3.79,0.0
20180404:0410,0.0,0.0,6.31,3.72,0.0
20180404:0510,0.0,0.0,6.18,3.86,0.0
20180404:0610,4.3,2.16,5.83,3.79,0.0
20180404:0710,126.99,13.57,6.32,4.83,0.0
20180404:0810,165.55,24.83,7.35,5.86,0.0
20180404:0910,316.93,35.52,8.49,6.07,0.0
20180404:1010,402.3,44.98,9.74,6.14,0.0
20180404:1110,750.57,52.09,11.06,5.93,0.0
20180404:1210,751.91,55.25,12.28,5.66,0.0
20180404:1310,827.6,53.39,13.32,5.66,0.0
20180404:1410,882.54,47.18,13.99,5.79,0.0
20180404:1510,787.86,38.22,14.05,5.66,0.0
20180404:1610,155.28,27.78,13.61,5.66,0.0
20180404:1710,192.21,16.63,12.85,4.97,0.0
20180404:1810,31.13,5.23,12.1,3.79,0.0
20180404:1910,0.0,0.0,11.0,2.97,0.0
20180404:2010,0.0,0.0,9.81,2.28,0.0
20180404:2110,0.0,0.0,8.58,2.0,0.0
20180404:2210,0.0,0.0,7.34,1.79,0.0
20180404:2310,0.0,0.0,6.23,1.59,0.0
20180405:0010,0.0,0.0,5.89,1.24,0.0
20180405:0110,0.0,0.0,6.54,0.83,0.0
20180405:0210,0.0,0.0,6.14,0.34,0.0
20180405:0310,0.0,0.0,5.59,0.28,0.0
20180405:0410,0.0,0.0,4.92,0.69,0.0
20180405:0510,0.0,0.0,3.88,0.9,0.0
20180405:0610,8.6,2.47,2.07,0.76,0.0
20180405:0710,177.37,13.88,4.9,0.34,0.0
20180405:0810,417.56,25.14,7.7,0.41,0.0
20180405:0910,632.3,35.85,10.06,0.62,0.0
20180405:1010,865.87,45.34,12.1,1.17,0.0
20180405:1110,986.75,52.47,13.76,1.38,0.0
20180405:1210,987.74,55.63,15.28,1.52,0.0
20180405:1310,1043.8,53.73,16.55,1.86,0.0
20180405:1410,869.06,47.47,17.45,2.07,0.0
20180405:1510,662.24,38.46,17.88,2.14,0.0
20180405:1610,468.07,27.99,17.88,2.14,0.0
20180405:1710,224.73,16.82,17.57,1.86,0.0
20180405:1810,25.0,5.41,16.77,1.1,0.0
20180405:1910,0.0,0.0,15.01,0.76,0.0
20180405:2010,0.0,0.0,12.78,1.93,0.0
20180405:2110,0.0,0.0,10.85,1.93,0.0
20180405:2210,0.0,0.0,9.43,1.93,0.0
20180405:2310,0.0,0.0,8.27,1.79,0.0
20180406:0010,0.0,0.0,7.46,1.72,0.0
20180406:0110,0.0,0.0,7.09,1.93,0.0
20180406:0210,0.0,0.0,6.89,1.93,0.0
20180406:0310,0.0,0.0,6.47,1.86,0.0
20180406:0410,0.0,0.0,6.02,1.86,0.0
20180406:0510,0.0,0.0,5.75,1.86,0.0
20180406:0610,11.18,2.77,5.47,1.79,0.0
20180406:0710,166.17,14.18,6.8,1.38,0.0
20180406:0810,393.25,25.45,10.87,1.72,0.0
20180406:0910,314.17,36.18,12.99,1.86,0.0
20180406:1010,625.75,45.69,14.68,2.48,0.0
20180406:1110,123.02,52.85,15.8,3.24,0.0
20180406:1210,116.59,56.01,16.12,3.38,0.0
20180406:1310,111.08,54.07,16.47,3.59,0.0
20180406:1410,109.25,47.75,16.26,3.31,0.0
20180406:1510,207.71,38.69,16.39,3.17,0.0
20180406:1610,371.6,28.19,15.51,1.93,0.0
20180406:1710,80.95,17.01,14.88,1.66,0.0
20180406:1810,5.51,5.6,14.09,2.07,0.0
20180406:1910,0.0,0.0,13.24,2.0,0.0
20180406:2010,0.0,0.0,12.91,2.21,0.0
20180406:2110,0.0,0.0,12.37,2.48,0.0
20180406:2210,0.0,0.0,11.84,2.62,0.0
20180406:2310,0.0,0.0,11.21,2.28,0.0
20180407:0010,0.0,0.0,10.38,1.93,0.0
20180407:0110,0.0,0.0,9.83,1.72,0.0
20180407:0210,0.0,0.0,9.7,1.38,0.0
20180407:0310,0.0,0.0,9.38,1.31,0.0
20180407:0410,0.0,0.0,9.12,1.38,0.0
20180407:0510,0.0,0.0,8.6,1.59,0.0
20180407:0610,5.16,3.07,8.32,1.72,0.0
20180407:0710,113.73,14.48,8.1,2.14,0.0
20180407:0810,33.05,25.76,8.31,2.21,0.0
20180407:0910,77.11,36.5,8.88,2.07,0.0
20180407:1010,179.02,46.04,9.43,2.07,0.0
20180407:1110,93.64,53.23,9.81,2.62,0.0
20180407:1210,129.44,56.39,9.93,3.03,0.0
20180407:1310,219.41,54.41,9.88,3.24,0.0
20180407:1410,119.34,48.02,10.21,3.1,0.0
20180407:1510,96.39,38.92,10.32,3.03,0.0
20180407:1610,187.79,28.39,10.46,3.03,0.0
20180407:1710,74.36,17.19,10.51,2.83,0.0
20180407:1810,33.04,5.79,10.14,2.21,0.0
20180407:1910,0.0,0.0,9.37,1.66,0.0
20180407:2010,0.0,0.0,8.59,1.86,0.0
20180407:2110,0.0,0.0,7.86,2.0,0.0
20180407:2210,0.0,0.0,7.23,2.0,0.0
20180407:2310,0.0,0.0,6.48,1.86,0.0
20180408:0010,0.0,0.0,5.76,1.59,0.0
20180408:0110,0.0,0.0,5.05,1.52,0.0
20180408:0210,0.0,0.0,4.43,1.59,0.0
20180408:0310,0.0,0.0,3.84,1.72,0.0
20180408:0410,0.0,0.0,3.64,1.72,0.0
20180408:0510,0.0,0.0,3.48,1.72,0.0
20180408:0610,14.62,3.37,3.81,1.66,0.0
20180408:0710,204.28,14.78,5.14,1.31,0.0
20180408:0810,461.54,26.07,7.06,1.79,0.0
20180408:0910,696.65,36.82,8.72,2.28,0.0
20180408:1010,500.09,46.39,10.7,3.03,0.0
20180408:1110,127.61,53.6,11.97,3.45,0.0
20180408:1210,482.26,56.77,12.51,3.86,0.0
20180408:1310,351.71,54.75,12.93,4.07,0.0
20180408:1410,726.75,48.3,13.18,3.93,0.0
20180408:1510,464.57,39.15,13.4,4.0,0.0
20180408:1610,514.29,28.59,13.31,4.28,0.0
20180408:1710,263.62,17.38,12.71,4.21,0.0
20180408:1810,34.98,5.97,11.7,3.79,0.0
20180408:1910,0.0,0.0,10.42,3.72,0.0
20180408:2010,0.0,0.0,9.06,3.66,0.0
20180408:2110,0.0,0.0,8.11,3.24,0.0
20180408:2210,0.0,0.0,7.72,2.83,0.0
20180408:2310,0.0,0.0,7.46,2.34,0.0
20180409:0010,0.0,0.0,7.13,2.0,0.0
20180409:0110,0.0,0.0,6.87,2.41,0.0
20180409:0210,0.0,0.0,6.22,3.38,0.0
20180409:0310,0.0,0.0,5.15,3.59,0.0
20180409:0410,0.0,0.0,4.18,3.66,0.0
20180409:0510,0.0,0.0,3.34,3.31,0.0
20180409:0610,13.76,3.67,3.23,2.48,0.0
20180409:0710,51.41,15.07,3.68,2.62,0.0
20180409:0810,202.2,26.37,4.24,2.62,0.0
20180409:0910,104.66,37.14,4.76,2.62,0.0
20180409:1010,235.78,46.73,5.42,3.1,0.0
20180409:1110,453.28,53.98,5.81,3.17,0.0
20180409:1210,450.4,57.15,6.69,3.59,0.0
20180409:1310,394.64,55.08,6.2,3.45,0.0
20180409:1410,341.04,48.57,7.49,4.0,0.0
20180409:1510,362.7,39.37,7.68,4.55,0.0
20180409:1610,296.11,28.79,8.13,4.83,0.0
20180409:1710,221.39,17.56,7.4,5.24,0.0
20180409:1810,39.37,6.16,6.79,4.83,0.0
20180409:1910,0.0,0.0,6.11,3.79,0.0
20180409:2010,0.0,0.0,5.68,3.72,0.0
20180409:2110,0.0,0.0,5.41,3.66,0.0
20180409:2210,0.0,0.0,4.86,3.38,0.0
20180409:2310,0.0,0.0,4.71,3.24,0.0
20180410:0010,0.0,0.0,4.73,3.24,0.0
20180410:0110,0.0,0.0,4.58,2.97,0.0
20180410:0210,0.0,0.0,4.68,2.97,0.0
20180410:0310,0.0,0.0,4.94,3.66,0.0
20180410:0410,0.0,0.0,5.12,4.07,0.0
20180410:0510,0.0,0.0,5.28,4.41,0.0
20180410:0610,6.02,3.96,5.1,4.34,0.0
20180410:0710,0.0,0.0,5.62,4.41,0.0
20180410:0810,67.02,26.67,5.6,4.28,0.0
20180410:0910,90.89,37.46,5.51,4.28,0.0
20180410:1010,106.49,47.08,5.52,4.0,0.0
20180410:1110,134.95,54.35,5.27,3.72,0.0
20180410:1210,156.98,57.52,5.25,5.03,0.0
20180410:1310,115.67,55.41,5.32,5.52,0.0
20180410:1410,572.72,48.84,5.63,5.24,0.0
20180410:1510,121.18,39.6,5.69,4.83,0.0
20180410:1610,78.03,28.98,5.72,4.28,0.0
20180410:1710,135.15,17.75,5.73,3.93,0.0
20180410:1810,22.95,6.34,5.71,3.17,0.0
20180410:1910,0.0,0.0,5.02,2.14,0.0
20180410:2010,0.0,0.0,4.68,2.14,0.0
20180410:2110,0.0,0.0,4.32,2.41,0.0
20180410:2210,0.0,0.0,4.07,2.34,0.0
20180410:2310,0.0,0.0,3.16,2.28,0.0
20180411:0010,0.0,0.0,2.75,2.41,0.0
20180411:0110,0.0,0.0,2.26,2.41,0.0
20180411:0210,0.0,0.0,2.24,2.28,0.0
20180411:0310,0.0,0.0,2.39,2.21,0.0
20180411:0410,0.0,0.0,2.67,2.21,0.0
20180411:0510,0.0,0.0,2.82,2.41,0.0
20180411:0610,17.2,4.26,2.91,2.69,0.0
20180411:0710,99.33,15.65,3.38,2.69,0.0
20180411:0810,132.43,26.96,4.54,2.48,0.0
20180411:0910,243.96,37.77,5.64,3.79,0.0
20180411:1010,0.0,0.0,7.43,5.52,0.0
20180411:1110,323.53,54.72,7.95,5.03,0.0
20180411:1210,632.12,57.89,8.79,5.79,0.0
20180411:1310,328.15,55.74,9.52,6.14,0.0
20180411:1410,344.35,49.11,10.1,6.41,0.0
20180411:1510,274.75,39.82,10.82,6.14,0.0
20180411:1610,237.69,29.18,11.42,5.59,0.0
20180411:1710,123.1,17.93,11.44,4.9,0.0
20180411:1810,17.44,6.52,10.51,4.28,0.0
20180411:1910,0.0,0.0,9.09,4.0,0.0
20180411:2010,0.0,0.0,8.47,3.52,0.0
20180411:2110,0.0,0.0,7.87,3.17,0.0
20180411:2210,0.0,0.0,7.19,2.97,0.0
20180411:2310,0.0,0.0,6.72,2.9,0.0
20180412:0010,0.0,0.0,6.13,2.9,0.0
20180412:0110,0.0,0.0,5.75,2.83,0.0
20180412:0210,0.0,0.0,5.47,2.83,0.0
20180412:0310,0.0,0.0,5.08,2.83,0.0
20180412:0410,0.0,0.0,4.36,2.28,0.0
20180412:0510,0.0,0.0,3.5,2.21,0.0
20180412:0610,19.78,4.54,2.93,2.34,0.0
20180412:0710,143.98,15.94,4.43,2.0,0.0
20180412:0810,384.37,27.26,6.59,2.48,0.0
20180412:0910,335.01,38.08,8.17,2.69,0.0
20180412:1010,897.48,47.75,9.52,3.24,0.0
20180412:1110,192.79,55.08,10.26,3.59,0.0
20180412:1210,299.94,58.26,10.23,4.0,0.0
20180412:1310,492.06,56.07,10.04,4.07,0.0
20180412:1410,211.15,49.38,10.84,4.28,0.0
20180412:1510,275.52,40.04,10.73,4.14,0.0
20180412:1610,195.48,29.37,9.71,3.17,0.0
20180412:1710,136.34,18.11,9.15,2.34,0.0
20180412:1810,10.1,6.71,8.66,1.66,0.0
20180412:1910,0.0,0.0,7.14,2.62,0.0
20180412:2010,0.0,0.0,6.81,2.48,0.0
20180412:2110,0.0,0.0,6.61,2.48,0.0
20180412:2210,0.0,0.0,6.44,2.07,0.0
20180412:2310,0.0,0.0,6.48,1.17,0.0
20180413:0010,0.0,0.0,6.51,1.72,0.0
20180413:0110,0.0,0.0,6.29,2.76,0.0
20180413:0210,0.0,0.0,5.86,2.9,0.0
20180413:0310,0.0,0.0,5.49,2.62,0.0
20180413:0410,0.0,0.0,5.11,2.62,0.0
20180413:0510,0.0,0.0,4.9,2.48,0.0
20180413:0610,23.22,4.83,4.71,2.21,0.0
20180413:0710,189.12,16.22,5.18,2.69,0.0
20180413:0810,336.68,27.55,5.88,2.48,0.0
20180413:0910,345.55,38.39,7.02,2.0,0.0
20180413:1010,226.18,48.09,8.46,1.59,0.0
20180413:1110,219.41,55.44,9.75,1.38,0.0
20180413:1210,461.63,58.63,10.85,1.45,0.0
20180413:1310,1016.11,56.39,11.47,1.45,0.0
20180413:1410,341.74,49.64,12.02,1.24,0.0
20180413:1510,214.54,40.26,12.74,1.1,0.0
20180413:1610,215.63,29.56,12.95,1.1,0.0
20180413:1710,90.94,18.29,13.13,1.1,0.0
20180413:1810,28.66,6.89,12.64,1.03,0.0
20180413:1910,0.0,0.0,10.37,1.17,0.0
20180413:2010,0.0,0.0,9.08,0.9,0.0
20180413:2110,0.0,0.0,8.43,0.9,0.0
20180413:2210,0.0,0.0,7.56,0.97,0.0
20180413:2310,0.0,0.0,7.11,0.55,0.0
20180414:0010,0.0,0.0,6.4,0.41,0.0
20180414:0110,0.0,0.0,5.59,0.48,0.0
20180414:0210,0.0,0.0,4.66,0.76,0.0
20180414:0310,0.0,0.0,3.61,0.97,0.0
20180414:0410,0.0,0.0,2.88,1.24,0.0
20180414:0510,0.0,0.0,2.68,1.24,0.0
20180414:0610,24.08,5.11,2.3,1.17,0.0
20180414:0710,217.08,16.5,5.06,0.62,0.0
20180414:0810,463.02,27.83,7.69,0.69,0.0
20180414:0910,678.93,38.69,9.31,0.62,0.0
20180414:1010,907.18,48.42,11.22,0.34,0.0
20180414:1110,964.83,55.8,12.73,0.48,0.0
20180414:1210,496.94,58.99,13.92,1.24,0.0
20180414:1310,554.41,56.71,14.2,1.66,0.0
20180414:1410,754.12,49.9,14.57,1.45,0.0
20180414:1510,483.91,40.48,15.06,1.45,0.0
20180414:1610,477.42,29.75,15.2,1.72,0.0
20180414:1710,261.78,18.47,15.15,1.79,0.0
20180414:1810,41.36,7.07,14.27,1.72,0.0
20180414:1910,0.0,0.0,12.57,2.21,0.0
20180414:2010,0.0,0.0,10.88,2.21,0.0
20180414:2110,0.0,0.0,9.62,2.21,0.0
20180414:2210,0.0,0.0,8.45,2.07,0.0
20180414:2310,0.0,0.0,7.7,1.79,0.0
20180415:0010,0.0,0.0,6.9,1.72,0.0
20180415:0110,0.0,0.0,6.53,1.66,0.0
20180415:0210,0.0,0.0,5.92,1.72,0.0
